state,district,address,lat,lng
Pulau Pinang,Timur Laut,"All Seasons Place Unit No: 6G-1-12 , Level 1 All Seasons Place, Lebuhraya Thean Teik Bandar Baru Air Itam Penang",5.3961368,100.2906221
Selangor,Petaling,"Ativo Plaza  Level 1, Ativo Plaza, Lot A-G-2, Block A, No. 1 Jalan PJU 9/1, Damansara Avenue, Bandar Sri Damansara, PJU 9 Kuala Lumpur Federal Territories Kuala Lumpur",3.1967343,101.616332
Selangor,Petaling,"Atria Shopping Gallery  Lot G38, Ground Floor, Atria Shopping Gallery, Atria Damansara, Jalan SS22/23, Damansara Jaya Petaling Jaya Selangor",3.1266367,101.6163951
Pulau Pinang,Barat Daya,"Botanica Balik Pulau 142A, Ground Floor, Jalan Sungai Air Putih Balik Pulau Penang",5.371773,100.22119000000001
Pulau Pinang,Seberang Perai Utara,"Bagan Ajam Drive Thru No.9, Lorong Oren, Pusat Perniagaan Oren Butterworth Penang",5.4387188,100.3829469
Johor,Batu Pahat,"Batu Pahat Old Street No. 21, Ground Floor, Jalan Rotan Utama, Taman Sri Jaya Batu Pahat Johor",1.8639839,102.9538761
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Bangsar Shopping Centre Lot G112 G113 G114 & GK5, Ground Floor Bangsar Shopping Centre 285 Jalan Maarof Kuala Lumpur Federal Territories Kuala Lumpur",3.1428401,101.6675173
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Bangsar New Village II Lot no. GF-17, Ground Floor, Bangsar Village II, No 2, Jalan Telawi Satu Kuala Lumpur Federal Territories Kuala Lumpur",3.1306409,101.6712869
Pahang,Cameron Highlands,"Centrum Cameron Highlands Lot 44, C-G-44, Precinct 1, Cameron Centrum, Brinchang Cameron Highlands Pahang",4.495146699999999,101.389435
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Cheras Leisure Mall Lot G04, 05 & 06, Ground Floor, Cheras Leisure Mall, Jalan Manis 6, Taman Segar Kuala Lumpur Federal Territories Kuala Lumpur",3.0909294,101.7431317
Selangor,Petaling,"The Curve Lot G31, Ground Floor, The Curve, No.6 Jln PJU7/3 Mutiara Damansara Petaling Jaya Selangor",3.1577484,101.611405
Negeri Sembilan,Seremban,"Centrepoint Seremban Drive Thru Lot No: GE-01, Ground & First Floor, Centerpoint Seremban, Lot PT 9149 Jalan Dato' Siamang Gagap Seremban Negeri Sembilan",2.7228949,101.955192
Negeri Sembilan,Seremban,"Centrio Seremban 2 Lot No: 158-G, Jalan S2 B22, Pusat Dagang Seremban 2 Seremban Negeri Sembilan",2.6918705,101.9051873
Kedah,Kulim,"Central Shopping Kulim Lot GF-03 Ground Floor, Jalan KLC Satu, Kulim Central Shopping Centre Kulim Kedah",5.3857844,100.5462849
Selangor,Petaling,"Da Men USJ Lot G-14, Da Men Mall USJ 1, Persiaran Kewajipan , USJ 1",3.0584702,101.5934327
Selangor,Petaling,"KPJ Damansara Specialist Hospital Ground Floor, KPJ Damansara Specialist Hospital, 119 Jalan SS 20/10, Damansara Utama Petaling Jaya Selangor",3.137556,101.627535
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Desa ParkCity The Waterfront @ Parkcity Lot No. GF-09, Ground Level 5 Persiaran Residen Kuala Lumpur Federal Territories Kuala Lumpur",3.1869487,101.6277335
Selangor,Sepang,"Dpulze Cyberjaya Lot G 22 Ground Floor,Dpulze Shopping Centre, P-01 Dpulze, Lingkaran Cyber Point Timur,Cyber 12 Cyberjaya Selangor",2.9224569,101.6509026
Johor,Johor Bahru,"Eco Botanic No. 8 Jalan Eko Botani 3/3 Taman Eko Botani Iskandar Puteri, Johor Darul Takzim Johor",1.4393101,103.6171216
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"EkoCheras Mall M-G-33, Ekocheras Mall No. 693, Batu 5, Jalan Cheras Kuala Lumpur Federal Territories Kuala Lumpur",3.0934935,101.7391395
Selangor,Petaling,"Empire Shopping Gallery  LG 23, Empire Shopping Gallery Jalan SS 16/1, SS 16 Subang Jaya Selangor",3.0817783,101.5828038
Pulau Pinang,Timur Laut,"Gleneagles Hospital Penang 2 Ground Floor, No. 1 Jalan Pangkor Penang Penang",5.4267879,100.3199707
Johor,Johor Bahru,"Gravity Green Johor Block A3, G-01, Gravity Green Seri Alam, Jalan Suria, Bandar Baru Seri Alam Masai Johor",1.4962035,103.8728633
Pulau Pinang,Timur Laut,"G Hotel  Unit No. G-03 Retail Space 1, Ground Floor, G Hotel 168A, Persiaran Gurney Georgetown Penang",5.4375575,100.3106325
Pulau Pinang,Seberang Perai Tengah,"Galeri Impian Penang No:2332-G, Jalan Rozhan, Galeri Impian Penang Bukit Mertajam Penang",5.3157609,100.4784049
Selangor,Klang,"Gamuda Walk G-01 Gamuda Walk, Wisma Biz Gamuda,No. 12, Persiaran Anggerik Vanilla, Kota Kemuning, Seksyen 31 Shah Alam Selangor",3.000244,101.5343342
Pahang,Bentong,"Genting Premium Outlets Suite No. 638 Genting Highlands Premium Outlets® KM13, Genting Highlands Resorts Pahang Darul Makmur Genting Highlands Pahang",3.423978,101.7932011
Selangor,Petaling,"Giant Shah Alam Lot A14, A15 & A16 Ground Floor Giant Stadium Shah Alam Section 13 Shah Alam Selangor",3.073281,101.518461
Pulau Pinang,Timur Laut,"Gurney Walk Penang Lot G-12, Ground Floor, Gurney Walk No. 18 Persiaran Gurney Georgetown Penang",5.4304224,100.3192088
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Hartamas Shopping Centre Lot G-20, Ground Floor, Hartamas Shopping Centre, No. 60 Jalan Sri Hartamas 1, Sri Hartamas Kuala Lumpur Federal Territories Kuala Lumpur",3.163504,101.656995
Pulau Pinang,Seberang Perai Tengah,"Icon City Penang Ground & Mezzanine Floor,No 5, Jalan Icon City, Icon City Bukit Mertajam Penang",5.3451925,100.4348009
Selangor,Sepang,"IOI City Mall Lot G-27 , Ground Floor , IOI City Mall Lebuh IRC, IOI Resort City Putrajaya Selangor",2.970663,101.7136681
Pulau Pinang,Timur Laut,"Island Plaza Unit G-07, Ground Floor Island Plaza Shopping Complex, Jalan Tanjung Tokong Georgetown Penang",5.4503927,100.3058048
Selangor,Petaling,"IOI Mall Puchong Lot G00A3A - G00A5B & G00A5C, Ground Floor IOI Mall, Jalan Puchong, Bandar Puchong Jaya Puchong Selangor",3.0463256,101.6183585
Perak,Kinta,"Kinta City Lot G28A, Ground Floor Kinta City Shopping Centre No.2 Jalan Teh Lean Swee Off Jalan Sultan Azlan Shah Utara Ipoh Perak",4.6005126,101.0757837
