state,district,name,address,lat,lng,business_status
Selangor,Sepang,BERJAYA STARBUCKS COFFEE,"Klia Departure, Kuala Lumpur International Airport, 64000 Sepang, Selangor, Malaysia",2.752108,101.700105,OPERATIONAL
Perak,Kuala Kangsar,STARBUCKS,"1 & 1A, Persiaran Medan Mutiara, 1, Jalan Taiping, Medan Mutiara, 33000 Kuala Kangsar, Perak, Malaysia",4.77206,100.932226,OPERATIONAL
Johor,Johor Bahru,STARBUCKS,"36, Jalan Bestari 2/2, Taman Nusa Bestari, 81200 Johor Bahru, Johor, Malaysia",1.481616,103.665097,OPERATIONAL
Pahang,Bentong,STARBUCKS,"69000 Bentong, Pahang, Malaysia",3.412494,101.78833,CLOSED_PERMANENTLY
Johor,Johor Bahru,STARBUCKS,"Bandar Baru Seri Alam, 81750 Masai, Johor, Malaysia",1.510656,103.877547,OPERATIONAL
Sarawak,Kuching,STARBUCKS,"G-46, Ground Floor, Plaza Merdeka, Lot, 88, Jalan Pearl, 93000, Sarawak, Malaysia",1.558142,110.343981,OPERATIONAL
Sarawak,Samarahan,STARBUCKS,"G25, G26, G27, G98 & G99, Lot 1396-1403 & Lot 108, The Summer Shopping Mall, Block 1, Jln Datuk Mohammad Musa, Samarahan Land District, 94300 Kota Samarahan, Sarawak, Malaysia",1.454588,110.458725,CLOSED_PERMANENTLY
Selangor,Ulu Langat,STARBUCKS,"Kampung Sesapan Bukit Minangkabau, 43700 Beranang, Selangor, Malaysia",2.88629,101.88151,OPERATIONAL
Johor,Johor Bahru,STARBUCKS,"Level 1, The Zone, 88, Jalan Ibrahim Sultan, Duty Free Zone, 80300 Johor Bahru, Johor, Malaysia",1.471027,103.783086,OPERATIONAL
Selangor,Petaling,STARBUCKS,"Lorong Ilmu, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.119184,101.648877,OPERATIONAL
Selangor,Klang,STARBUCKS,"Lot G51, Ground Floor, Persiaran Bukit Raja 2,Bandar Baru Klan, 41150 Klang, Selangor, Malaysia",3.038242,101.39745,CLOSED_PERMANENTLY
Johor,Kulai,STARBUCKS,"Lot G68, Ground Floor, AEON Mall Kulaijaya, PTD106273, Persiaran Indahpura Utama, Bandar Indahpura, 81000, Johor, Malaysia",1.640392,103.617628,OPERATIONAL
