state,district,name,address,lat,lng
Pulau Pinang,Barat Daya,BAYAN LEPAS,"01-03, Golden Triangle 2 Commercial Square, Jalan Dato Ismail Hashim, 11900 Bayan Lepas",5.329956399999999,100.2751679
Perak,Kinta,ZUS COFFEE – SILIBIN,"1, Jalan Pusat Perniagaan Pertama, Pusat Perniagaan Pertama, 30100, Ipoh, Perak",4.6082811,101.0606374
Selangor,Ulu Langat,"ZUS COFFEE – VISTA BANGI, JALAN REKO","1-06 (Ground Floor) Vista Bangi, Jalan Reko, 43000 Kajang, Selangor.",2.9462408,101.7855027
Pulau Pinang,Barat Daya,"QUEENS WATERFRONT, BAYAN LEPAS","1-G-26, Jalan Bayan Indah, Queens Waterfront Q1, 11900 Bayan Lepas, Penang",5.332817899999999,100.3094482
Johor,Pontian,PEKAN NANAS,"101, Ground Floor, Jalan Industri 8, Taman Perindustrian Pekan Nanas 81500 Johor",1.4953656,103.526666
Pulau Pinang,Timur Laut,"MACALISTER, GEORGETOWN","109-B, Jalan Macalister, 10400 George Town, Pulau Pinang",5.4168082,100.3224882
Johor,Kluang,KLUANG VERSI BOULEVARD,"11, Ground Floor, Jalan Duku 86000 Kluang, Johor",2.0378083,103.3198773
Perak,Kinta,IPOH BOND SQUARE,"11, Ground Floor, Jalan Niaga Simee 1, Pusat Perniagaan Simee (Bond Square), 31400 Ipoh, Perak",4.618147,101.1162982
Terengganu,Kuala Terengganu,"JALAN PEJABAT, KUALA TERENGGANU","1106, Jalan Pejabat, 20200 Kuala Terengganu, Terengganu",5.3292138,103.143171
Melaka,Melaka Tengah,PLAZA PANDAN MALIM,"15, Jalan PPM 8, Plaza Pandan Malim, 75250 Melaka",2.2286485,102.2266453
Pulau Pinang,Timur Laut,GURNEY PARAGON MALL PENANG,"163-D, Lot LG-03, Lower Ground Floor Gurney Paragon Mall, Persiaran Gurney, 10250 George Town, Pulau Pinang",5.4357359,100.311185
Johor,Batu Pahat,BATU PAHAT,"17, Jalan Rotan Utama, Taman Sri Jaya 83000 Batu Pahat Johor",1.8631097,102.9538592
Pulau Pinang,Seberang Perai Selatan,ZUS COFFEE DT – METRIOPLACE BATU KAWAN,"1818-2-2, Jalan Perniagaan Vorteks, Pusat Perniagaan Vorteks, 14100 Simpang Ampat, Penang",5.2659402,100.4755243
Perak,Batang Padang,ZUS COFFEE – PEKAN SUNGKAI,"18G, Jalan Sentral Sungkai 1, Taman Sungkai Perdana, 35600 Sungkai, Perak",4.0068187,101.3053799
Selangor,Klang,ZUS COFFEE – PEKAN MERU,"195, Jalan Meru Batu 6 1/2, Pekan Meru, 41050 Klang, Selangor",3.1311418,101.4403017
Pulau Pinang,Seberang Perai Tengah,SUNWAY CARNIVAL MALL,"1F-K17, Sunway Carnival Mall, 3068, Jalan Todak, Pusat Bandar Seberang Jaya, 13700 Seberang Jaya, Pulau Pinang",5.3986313,100.3980421
Selangor,Ulu Langat,ZUS COFFEE – KIPMALL BANGI,"1K-03A, Level 1, No. 1 Jalan Medan Bangi Business Park Bangi Golf Resort) Off, Persiaran Kemajuan, Seksyen 6, 43650 Bandar Baru Bangi, Selangor",2.9535345,101.7571023
Johor,Johor Bahru,ZUS COFFEE – NUSA BESTARI,"2 (Ground floor) , Jalan Bestari 6/2, Taman Nusa Bestari , 81300 Skudai , Johor.",1.4818407,103.6658061
Perak,Kampar,KAMPAR,"2234, Ground Floor, Jalan Batu Sinar, Taman Bandar Baru, 31900 Kampar, Perak",4.3258942,101.143947
Pulau Pinang,Seberang Perai Utara,ZUS COFFEE – CALTEX BANDAR PUTRA BERTAM,"2278 (Lot 9588), Jalan Tun Hamdan Sheikh Tahir, Bandar Putra Bertam, 13200 Kepala Batas, Pulau Pinang.",5.518911399999999,100.4626139
Johor,Segamat,SEGAMAT GENUANG,"26G, Jalan Genuang Perdana, Bandar Segamat Baru, 85000 Segamat, Johor",2.4901251,102.8462961
Pahang,Bentong,BENTONG,"29, Jalan Loke Yew, 28700 Bentong, Pahang",3.5245789,101.9079121
Perak,Manjung,"SERI MANJUNG, SITIAWAN","29, Jalan PPMP 3/1, 32040 Seri Manjung, Perak",4.2166766,100.6690987
Johor,Muar,MUAR BAKRI,29-27 (BHU) Jalan Pesta ½ Taman Kampung Kenangan Tun Dr Ismail 84000 Muar Johor,2.0484634,102.5844075
Johor,Johor Bahru,KOTA MASAI JOHOR,"3, Jalan Ekoperniagaan 9, Taman Kota Masai 81700 Pasir Gudang, Johor",1.4858354,103.9367499
Perak,Kinta,IPOH PENGKALAN STATION 18,"34, Jalan Pengkalan Putra 1, Pusat Perniagaan Pengkalan Putra, 31650 Ipoh, Perak",4.552246100000001,101.0750381
Melaka,Melaka Tengah,"ZUS COFFEE – KLEBANG, MELAKA","40, Ground Floor, Jalan Nirwana 2, Taman Nirwana, Batang Tiga, 76400, Melaka",2.2211617,102.1839544
Terengganu,Dungun,"ZUS COFFEE – PUSAT NIAGA PAKA, TERENGGANU","49-G, PT 228, Jalan Besar, Pusat Niaga Paka, Kampung Cacar, 23100 Paka, Terengganu.",4.636074499999999,103.4369598
Perak,Larut Dan Matang,TAIPING KAMUNTING,"51, Jalan Medan Saujana, Medan Saujana, 34600 Kamunting, Perak",4.8746904,100.7277124
Melaka,Melaka Tengah,MELAKA KOTA LAKSAMANA,"59, Jalan KLJ 6, Taman Kota Laksamana Jaya, 75200 Melaka",2.1996228,102.2338266
Pulau Pinang,Timur Laut,PENANG AYER ITAM,"61-01, Jalan Pisang Embun, 11500 Ayer Itam, Penang",5.3969113,100.286923
Johor,Johor Bahru,MOUNT AUSTIN,"65, Jalan Mutiara Emas 2A, Taman Mount Austin, 81100 Johor Bahru",1.5533078,103.7850978
Perak,Hilir Perak,BANDAR BARU TELUK INTAN,"7, Ground Floor, Jalan Intan 1, Bandar Baru Teluk Intan, 36000 Teluk Intan, Perak",4.0193072,101.0229272
Johor,Pontian,PONTIAN KOTA EMAS,"70-G, Jalan Emas 2, Pusat Perniagaan Kota Emas 82000 Pontian, Johor",1.4785128,103.3999309
Pulau Pinang,Timur Laut,ZUS COFFEE – FERRINGHI WALK,"72C-G-7 ,Jalan Batu Ferringhi, 11100 Batu Ferringhi, Penang",5.475054399999999,100.24941
Johor,Johor Bahru,TAMAN UNIVERSITI,"8, Jalan Pendidikan 8, Taman Universiti 81300 Skudai, Johor",1.5439196,103.6303901
Selangor,Petaling,"ZUS COFFEE – SETIA PRIMA, SETIA ALAM","8-1-2 (Ground Floor), Jalan Setia Prima P U13/P, Setia Alam, 40170 Shah Alam, Selangor",3.1000751,101.4446116
Johor,Kota Tinggi,SUNGAI RENGIT (DESARU),"88-01, Jalan Hee Seng, Sungai Rengit, 81620 Pengerang, Johor",1.3509777,104.2236352
Selangor,Petaling,ZUS COFFEE – SEVENTEEN MALL,"998, Jalan 17/38, Seksyen 17, 46400 Petaling Jaya, Selangor",3.1292717,101.6350583
Pahang,Cameron Highlands,CAMERON CENTRUM,"A-G-11, Presint 1 Cameron Centrum, 39100 Brinchang, Pahang",4.49105,101.3885071
Pulau Pinang,Timur Laut,ZUS COFFEE – TANJUNG TOKONG,"A-G-8, Vantage Desiran, Jalan Desiran Tanjung, 10470 Tanjung Tokong, Pulau Pinang",5.4555563,100.3097292
Selangor,Petaling,ZUS COFFEE – PUCHONG UTAMA,"A-G-9 (Ground Floor), Block A, Dataran Puchong, Jalan PU 7/1, Taman Puchong Utama, 47140 Puchong, Selangor",2.9916212,101.6175448
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – OUG PARKLANE,"A1-0-12 (Ground Floor), OUG Parklane, Jalan 1/152, Taman OUG Parklane, 58200 Kuala Lumpur",3.0685429,101.6573998
Pahang,Kuantan,ZUS COFFEE – BALOK KUANTAN,"A23 (Ground Floor), Lorong Balok Darat 13, 26100 Kuantan, Pahang Darul Makmur",3.9415065,103.3694863
Johor,Johor Bahru,ZUS COFFEE – AEON MALL BUKIT INDAH,"AEON Mall Bukit Indah. G07A, Ground Floor, Grand Mezzanine, 8, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor.",1.4817523,103.6557625
Kelantan,Kota Bharu,"ZUS COFFEE – H ELITE DESIGN HOTEL, TUNJONG","AG-G-02 & AG-G-03, Alwaqf @ Tunjong, Jalan Kuala Krai, 16010 Kota Bahru, Kelantan Darul Naim.",6.0693753,102.2388852
Selangor,Ulu Langat,ZUS COFFEE – UNIVERSITI KEBANGSAAN MALAYSIA (BANGUNAN PUSANIKA),"Aras Satu, Bangunan Pusanika, Universiti Kebangsaan Malaysia, 43600 Bangi, Malaysia",2.9178088,101.7884795
Melaka,Melaka Tengah,"DATARAN PAHLAWAN, MELAKA","B-001(B) Dataran Pahlawan Melaka Megamall, Jln Merdeka, Bandar Hilir, 75000, Melaka",2.1897598,102.25078
Kedah,Kota Setar,"ZUS COFFEE – SIMPANG EMPAT PERDANA, KEDAH","B-1(Ground Floor), Susuran Lada 1, Simpang 4, Taman Simpang Perdana, 06650 Alor Setar, Kedah.",6.017913399999999,100.3844141
Pahang,Kuantan,"JLN BESERAH, KUANTAN","B-298 (Ground Floor), Jalan Beserah, 25300 Kuantan, Pahang",3.835633,103.35003
