state,store,address,status
Perlis,Kompleks Tok Arau,"Lot No 10A, Kompleks Tok Arau, Jalan Tiga, 02600, Arau, Perlis",Open
Selangor,1 Utama,"G129A, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800, Petaling Jaya, Selangor",Open
Pulau Pinang,1st Avenue Penang,"182, Jalan Magazine, 10300, George Town, Pulau Pinang",Open
Johor,Aeon Bandar Dato Onn,"G51, Aeon Dato' Onn, 3, Jln Dato' Onn 3, Bandar Dato Onn, 81100, Johor Bahru, Johor",Open
Melaka,AEON Bandaraya Melaka,"GK09B, Aeon Mall Bandaraya Melaka, 2, Jalan Lagenda, Taman 1 Lagenda, 75400, Taman 1 Lagenda, Melaka",Open
Perak,Aeon Big Falim,"Lot G52, No. 1, Hala Falim 1, Taman Mas Jaya, 30200, Falim, Perak",Open
Selangor,Aeon Bukit Tinggi,"Lot G41, No 1, Persiaran Batu Nilam 1/KS 6, Bandar Bukit Tinggi 2, 41200 , Klang, Selangor",Open
W.P. Kuala Lumpur,Aeon Cheras Selatan,"Jalan Cheras Perdana Cheras 43200, Balakong, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Aeon Metro Prima,"KG5 Ground Floor, AEON Mall, Metro Prima, 1, Jalan Metro Prima, 52100, Taman Kepong, WP Kuala Lumpur",Open
Negeri Sembilan,Aeon Nilai,"KF12, Aeon Nilai Mall, Persiaran Pusat Bandar, Bandar Baru Nilai, 71800, Nilai, Negeri Sembilan",Open
Negeri Sembilan,Aeon Seremban 2,"Lot KF8 First Floor, Aeon Seremban 2 Store & Shopping Centre, 112, Persiaran S2 B1, Seremban 2, 70300, Seremban, Negeri Sembilan",Open
Selangor,Aeon Shah Alam,"Lot KS5, Aeon Shah Alam, Jln Akuatik 13/64, Seksyen 13, 40100, Shah Alam, Selangor",Open
Perak,Aeon Taiping,"G55B, Aeon Taiping Mall, Lot 8576 & 8577, Jalan Kamunting, 34000, Taiping, Perak",Open
