state,store,address
W.P. Kuala Lumpur,Suria KLCC,"Suria KLCC C70, Concourse"
W.P. Kuala Lumpur,Pavilion Kuala Lumpur,"Pavilion Kuala Lumpur P1.05, Level 1"
W.P. Kuala Lumpur,MyTown,"MyTownG.047, Ground Floor"
W.P. Kuala Lumpur,NU Sentral,"NU Sentral LG.09, Lower Ground Floor"
W.P. Kuala Lumpur,Wangsa Walk Mall,Wangsa Walk Mall Lot GL-08 and FL-08
W.P. Kuala Lumpur,Jalan Tun Perak,"Jalan Tun Perak No 45-3, Ground Floor"
W.P. Kuala Lumpur,Sogo KL,Sogo KL Lower Ground Floor
W.P. Kuala Lumpur,Mid Valley Megamall,"Mid Valley Megamall Lot F-027A&027B, 1st Floor"
W.P. Kuala Lumpur,The Vertical Podium Bangsar South,"The Vertical Podium Bangsar South Unit G-13, Ground Floor"
W.P. Kuala Lumpur,Setapak Central,"Setapak Central GK-7A, Ground Floor"
W.P. Kuala Lumpur,KL East Mall,"KL East MallLot G1-29, Ground Floor"
W.P. Kuala Lumpur,Plaza Mont Kiara,"Plaza Mont KiaraLot C/0G/03 & Lot C/0G/04, Courtyard Level"
W.P. Kuala Lumpur,AEON Alpha Angle,AEON Alpha AngleLot G17 & G18
W.P. Kuala Lumpur,"Wisma FGV, Jln Raja Laut, KL","Wisma FGV, Jln Raja Laut, KLSuite G.3E, Ground Floor"
W.P. Kuala Lumpur,Taman Pelangi Semenyih,Taman Pelangi SemenyihJalan TPS 1/3
W.P. Kuala Lumpur,"Hexa Walk, Desa Petaling","Hexa Walk, Desa PetalingNO 3­-3, Pusat Perdagangan Salak II"
Selangor,Sunway Pyramid,Sunway Pyramid LG1.118A - Lower Ground 1 Floor
Selangor,IOI City Mall,"IOI City Mall Lot K.211, Lower Ground Floor"
Selangor,Plaza Shah Alam,"Plaza Shah Alam G.20, Ground Floor 2"
Selangor,AEON Shah Alam,AEON Shah Alam Lot KG-5
Selangor,"Metro Point Complex, Kajang","Metro Point Complex, Kajang Lot G23, Ground Floor"
Selangor,Setia City Mall,"Setia City Mall UG122, UG floor"
Selangor,Taman Puncak Jalil,"Taman Puncak Jalil No.96G, Jalan PUJ 3/2"
Selangor,Eco Grandeur,Eco GrandeurNo. 26
Selangor,KLIA 2 Gateway,"KLIA 2 GatewayLot S2-3-L18, Level 3"
Selangor,Mydin USJ,Mydin USJ GSRU-06 LOT
Selangor,Denai Alam,Denai AlamJalan Elektron U16/E No. 44(G)
Selangor,Bandar Tun Hussein Onn,Bandar Tun Hussein OnnJalan Suarasa 8/4 8A
Selangor,"Savanna Lifestyle Retail, Southville","Savanna Lifestyle Retail, SouthvilleA-G-17"
Selangor,Selayang Mall,"Selayang Mall GSW.3A, De Walk, Ground Floor"
Selangor,"Seri Putra, Kajang","Seri Putra, Kajang4, Jalan Seri Putra 1/5,"
Selangor,Ara Damansara Medical Centre,"Ara Damansara Medical CentreLot 2, Ground Floor"
Selangor,Bandar Saujana Putra,"Bandar Saujana Putra56­G, Jalan SPU 1"
Selangor,Bangi Gateway Mall,"Bangi Gateway MallG-3A, Ground Floor, Block A"
Selangor,Prima Sri Gombak,"Prima Sri GombakNo. 60G, Jalan Prima SG 3/1"
Selangor,"Seksyen 7, Shah Alam","Seksyen 7, Shah AlamJalan Plumbum 65/7P"
Selangor,Taipan Setia Alam,"Taipan Setia Alam56G, Jln Setia Utama AS U13/AS"
Selangor,"Rawang Country Homes, Rawang","Rawang Country Homes, RawangNo. G-6, Ground Floor"
Selangor,Sungai Besar Business Centre,"Sungai Besar Business CentreNo. 32, Jalan SBBC 6"
Selangor,"Kota Warisan, Sepang","Kota Warisan, Sepang67G, Jalan Warisan Sentral 1"
Selangor,"Cottage Walk, Cyberjaya","Cottage Walk, CyberjayaSD-4, Cottage Walk"
Selangor,Banting Business Centre,"Banting Business CentreNo. 15-GF, Jalan Cemerlang 4"
Negeri Sembilan,Seremban Gateway,Seremban GatewayLot C6-G
Negeri Sembilan,AEON Nilai Mall,AEON Nilai Mall Lot KF02
Negeri Sembilan,"Bandar Enstek, Nilai","Bandar Enstek, Nilai 36, Jalan Timur 6/1A Ground Floor"
Negeri Sembilan,Bandar Prima Senawang,"Bandar Prima Senawang No. 36G, Jalan BPS 3,"
Johor,AEON Taman Universiti,"AEON Taman UniversitiLG 20A, Lower Ground Floor"
Johor,Lotus Desa Tebrau,"Lotus Desa TebrauG6, Ground Floor"
Johor,"General Post Office (GPO), JB","General Post Office (GPO), JBJKR 2521, Jalan Dato Onn"
Johor,"Muar, Bakri","Muar, BakriLot No.9, Ground Floor"
Johor,"Kluang, Jalan Duku","Kluang, Jalan DukuNo. 25 (Lower Ground Floor),"
W.P. Putrajaya,"Presint Diplomatik, Putrajaya","Presint Diplomatik, Putrajaya39, Jln Diplomatik, Presint 15"
