business_status,formatted_address,lat,lng,name,rating,state,parlimen,geometry,city
OPERATIONAL,"Perdana Botanical Garden, Asean Sculpture Garden, Pesiaran Sultan Salahhudin, 50480, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1504807,101.6839757,ASEAN Sculpture Garden,4.4,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6839757, 3.1504807)",Segambut
OPERATIONAL,"Alam Damai, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.0676924,101.7406386,Alam Damai Recreation Park,4.3,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,"c(101.7406386, 3.0676924)",Bandar Tun Razak
OPERATIONAL,"2A, Jalan Beremi, Bukit Bintang, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1474452,101.7101323,Arabian Park,4.1,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.7101323, 3.1474452)",Bukit Bintang
OPERATIONAL,"Unnamed Road, Bukit Kiara, 60000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1572499,101.6346382,Bamboo Canopy,4.7,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6346382, 3.1572499)",Segambut
OPERATIONAL,"Taman Bukit Bambu, Off, DUKE, Taman Bamboo, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1936288,101.6739386,Bamboo Hills,4.3,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6739386, 3.1936288)",Segambut
OPERATIONAL,"Jalan Ipoh, Sentul, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2136962,101.6775843,Batu Metropolitan Park,4.2,W.P. Kuala Lumpur,P.115 Batu,"c(101.6775843, 3.2136962)",Batu
OPERATIONAL,"Jalan Bangkung, Taman Bandaraya, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1374898,101.669929,Bukit Bandaraya Park,3.8,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.669929, 3.1374898)",Lembah Pantai
OPERATIONAL,"Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1467085,101.7112588,Bukit Bintang Crossing,4.6,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.7112588, 3.1467085)",Bukit Bintang
OPERATIONAL,"Waizuri 1, Seksyen 5 Wangsa Maju, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1931728,101.746374,Bukit Dinding Hiking Trail,4.5,W.P. Kuala Lumpur,P.118 Setiawangsa,"c(101.746374, 3.1931728)",Setiawangsa
OPERATIONAL,"Wilayah Persekutuan, Jalan Pantai Permai, Bukit Kerinchi, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1034032,101.6607804,Bukit Gasing Via Hillpark Trailhead,4.5,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6607804, 3.1034032)",Lembah Pantai
OPERATIONAL,"Jalan 13/155c, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0522222,101.6755556,Bukit Jalil Recreational Park,4.4,W.P. Kuala Lumpur,P.122 Seputeh,"c(101.6755556, 3.0522222)",Seputeh
OPERATIONAL,"78, Jln Abang Haji Openg, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1457649,101.6317154,Bukit Kiara Federal Park,4.6,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6317154, 3.1457649)",Segambut
OPERATIONAL,"Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.05917,101.68903,Bukit Komanwel,4.1,W.P. Kuala Lumpur,P.122 Seputeh,"c(101.68903, 3.05917)",Seputeh
OPERATIONAL,"No. 2, Jalan P.Ramlee, 50250, Kuala Lumpur, Wilayah Persekutuan, 50250 Kuala Lumpur, Malaysia",3.150578700000001,101.7015589,Bukit Nanas Forest Reserve,4,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.7015589, 3.1505787)",Bukit Bintang
OPERATIONAL,"Setiawangsa, 54200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1877682,101.7416224,Bukit Setiawangsa Park,4.3,W.P. Kuala Lumpur,P.118 Setiawangsa,"c(101.7416224, 3.1877682)",Setiawangsa
OPERATIONAL,"to Wangsa Maju Reservoir, Wangsa Maju, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.2010461,101.7420744,Bukit TM Wangsa Maju,4.5,W.P. Kuala Lumpur,P.116 Wangsa Maju,"c(101.7420744, 3.2010461)",Wangsa Maju
OPERATIONAL,"35, Jalan Bukit Tunku, Taman Tunku, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1689579,101.6814311,Bukit Tunku Viewpoint,4.4,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6814311, 3.1689579)",Segambut
OPERATIONAL,"29, Jln Aminuddin Baki, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.151563,101.6169521,Dataran Som,5,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6169521, 3.151563)",Segambut
OPERATIONAL,"Bukit Dinding, 54200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1953939,101.7520311,Denai Fair View,5,W.P. Kuala Lumpur,P.118 Setiawangsa,"c(101.7520311, 3.1953939)",Setiawangsa
