business_status,formatted_address,lat,lng,name,rating,state,parlimen,geometry,city
OPERATIONAL,"62000 Putrajaya, Malaysia",2.9616867,101.6956668,Putrajaya Wetlands Park,4.3,W.P. Putrajaya,P.125 Putrajaya,"c(101.6956668, 2.9616867)",W.P. Putrajaya
OPERATIONAL,"Jalan P11, Presint 11, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9612403,101.6756394,Taman Saujana Hijau Putrajaya,4.7,W.P. Putrajaya,P.125 Putrajaya,"c(101.6756394, 2.9612403)",W.P. Putrajaya
OPERATIONAL,"Presint 2, 62100 Putrajaya, Malaysia",2.9258461,101.6960832,Taman Wawasan Putrajaya,4.4,W.P. Putrajaya,P.125 Putrajaya,"c(101.6960832, 2.9258461)",W.P. Putrajaya
OPERATIONAL,"223, Jalan Diplomatik 2/2, Presint Diplomatik, 62050 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9437916,101.7266495,Taman Canseri,4.3,W.P. Putrajaya,P.125 Putrajaya,"c(101.7266495, 2.9437916)",W.P. Putrajaya
OPERATIONAL,"Jalan P15 H4/1, Presint 15, 62050 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.937613100000001,101.7195427,Rimba Alam Park,4.2,W.P. Putrajaya,P.125 Putrajaya,"c(101.7195427, 2.9376131)",W.P. Putrajaya
OPERATIONAL,"Jln Taman Botani, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9440776,101.6939425,"Pusat Rekreasi Air @ Taman Botani, Putrajaya",4.4,W.P. Putrajaya,P.125 Putrajaya,"c(101.6939425, 2.9440776)",W.P. Putrajaya
OPERATIONAL,"No.7, Jalan P16, Presint 16, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9279642,101.7004002,Taman Warisan Pertanian Putrajaya,4.2,W.P. Putrajaya,P.125 Putrajaya,"c(101.7004002, 2.9279642)",W.P. Putrajaya
OPERATIONAL,"10, Jalan P8a/1, Presint 8, 62250 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9366857,101.6865346,Putrajaya Water Safety Park,4.1,W.P. Putrajaya,P.125 Putrajaya,"c(101.6865346, 2.9366857)",W.P. Putrajaya
OPERATIONAL,"Persiaran Sultan Salahuddin Abdul Aziz Shah, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9410892,101.6978464,Taman Putra Perdana,4.5,W.P. Putrajaya,P.125 Putrajaya,"c(101.6978464, 2.9410892)",W.P. Putrajaya
OPERATIONAL,"Lebuh Perdana Barat, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9448069,101.6955157,Taman Botani Putrajaya,4.5,W.P. Putrajaya,P.125 Putrajaya,"c(101.6955157, 2.9448069)",W.P. Putrajaya
OPERATIONAL,"Jalan Tuanku Abdul Rahman, Presint 4, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9128341,101.6789124,Anjung Floria,4.3,W.P. Putrajaya,P.125 Putrajaya,"c(101.6789124, 2.9128341)",W.P. Putrajaya
OPERATIONAL,"Unnamed Road, Presint 13, 62300, Putrajaya, Malaysia",2.9690924,101.6949096,Padang Semarak Taman Wetland,4.5,W.P. Putrajaya,P.125 Putrajaya,"c(101.6949096, 2.9690924)",W.P. Putrajaya
OPERATIONAL,"Presint 2, 62000 Putrajaya, Malaysia",2.9311331,101.6919771,Permandangan Indah Putrajaya,4.8,W.P. Putrajaya,P.125 Putrajaya,"c(101.6919771, 2.9311331)",W.P. Putrajaya
OPERATIONAL,"Lebuh Gemilang, Presint 5, 62200 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.8963889,101.6794444,Taman Seri Empangan,4.4,W.P. Putrajaya,P.125 Putrajaya,"c(101.6794444, 2.8963889)",W.P. Putrajaya
OPERATIONAL,"Perumahan Penjawat Awam, 15-12A, Jalan P15, Presint 15, 62000 Putrajaya, Malaysia",2.943085,101.72128,1/24 Crawler Park Putrajaya,5,W.P. Putrajaya,P.125 Putrajaya,"c(101.72128, 2.943085)",W.P. Putrajaya
OPERATIONAL,"Presint 1, 62000 Putrajaya, Malaysia",2.9422417,101.6990085,Secret Garden Putrajaya,4.5,W.P. Putrajaya,P.125 Putrajaya,"c(101.6990085, 2.9422417)",W.P. Putrajaya
OPERATIONAL,"XM8V+HV, Presint 13, 62000 Putrajaya, Malaysia",2.9664603,101.6948377,The Central Park Playground by Taman Wetland,4.6,W.P. Putrajaya,P.125 Putrajaya,"c(101.6948377, 2.9664603)",W.P. Putrajaya
OPERATIONAL,"Unnamed Road, Presint 4, 62000, Putrajaya, Malaysia",2.9099906,101.6768571,Lebuh Sentosa Recreational Park,5,W.P. Putrajaya,P.125 Putrajaya,"c(101.6768571, 2.9099906)",W.P. Putrajaya
OPERATIONAL,"Persiaran Persekutuan, Presint 13, 62300 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9695631,101.6917803,Glamping @ Wetland Putrajaya,4.2,W.P. Putrajaya,P.125 Putrajaya,"c(101.6917803, 2.9695631)",W.P. Putrajaya
OPERATIONAL,"36, Jalan P11 A 6/1, Presint 11, 62300 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9595481,101.6925269,Replica Park by Taman Wetland,5,W.P. Putrajaya,P.125 Putrajaya,"c(101.6925269, 2.9595481)",W.P. Putrajaya
OPERATIONAL,"Presint 1, 62000 Putrajaya, Malaysia",2.9468168,101.6953483,Vine Garden,4.7,W.P. Putrajaya,P.125 Putrajaya,"c(101.6953483, 2.9468168)",W.P. Putrajaya
OPERATIONAL,"PPJ 277 Laman Perdana (Barat, Persiaran Sultan Salahuddin Abdul Aziz Shah, Presint 1, 62000, Putrajaya, Malaysia",2.9391237,101.6957146,Tangga Putrajaya Steps,4.7,W.P. Putrajaya,P.125 Putrajaya,"c(101.6957146, 2.9391237)",W.P. Putrajaya
OPERATIONAL,"XP65+G6P, Presint 13, 62000 Putrajaya, Malaysia",2.9613375,101.7080781,"Wetland crossing, Putrajaya",5,W.P. Putrajaya,P.125 Putrajaya,"c(101.7080781, 2.9613375)",W.P. Putrajaya
OPERATIONAL,"Jalan P5, Presint 5, 62200 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.88911,101.665446,Taman Cabaran,4.4,W.P. Putrajaya,P.125 Putrajaya,"c(101.665446, 2.88911)",W.P. Putrajaya
OPERATIONAL,"42, Jalan Industri Putra 1, Taman Rimba Alam, 62050 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9501769,101.7307276,Taman Rimba Alam Presint 14,3.9,W.P. Putrajaya,P.125 Putrajaya,"c(101.7307276, 2.9501769)",W.P. Putrajaya
OPERATIONAL,"Kebun Komuniti 4, Presint 14, 62050 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9539534,101.7267878,All about Urban Farming 4 Putrajaya,4.9,W.P. Putrajaya,P.125 Putrajaya,"c(101.7267878, 2.9539534)",W.P. Putrajaya
OPERATIONAL,"Lebuh Sentosa, Presint 4, 62250 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9125073,101.6776299,China-Malaysia Friendship Garden 中马友谊花园,4.4,W.P. Putrajaya,P.125 Putrajaya,"c(101.6776299, 2.9125073)",W.P. Putrajaya
OPERATIONAL,"Jalan P5, Presint 5, 62200 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.8891858,101.6654669,Putrajaya Challenge Park - Skatepark,4.6,W.P. Putrajaya,P.125 Putrajaya,"c(101.6654669, 2.8891858)",W.P. Putrajaya
OPERATIONAL,"Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.910366,101.6696601,Cyberjaya Lakeside,4.6,W.P. Putrajaya,P.125 Putrajaya,"c(101.6696601, 2.910366)",W.P. Putrajaya
OPERATIONAL,"Jalan P4 T, Presint 4, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9078804,101.6844378,Taman Sukan & Rekreasi Presint 4,4,W.P. Putrajaya,P.125 Putrajaya,"c(101.6844378, 2.9078804)",W.P. Putrajaya
OPERATIONAL,"Lakeside Putrajaya, Presint 2, 62250 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9284548,101.6856316,Lakeside Putrajaya,4.5,W.P. Putrajaya,P.125 Putrajaya,"c(101.6856316, 2.9284548)",W.P. Putrajaya
OPERATIONAL,"Presint 11, 62300 Putrajaya, Malaysia",2.9592558,101.6731295,European Garden,4.4,W.P. Putrajaya,P.125 Putrajaya,"c(101.6731295, 2.9592558)",W.P. Putrajaya
OPERATIONAL,"Taman Botani, Presint 1, 62000 Putrajaya, Malaysia",2.9494556,101.7003063,Taman Etnobotani,4.7,W.P. Putrajaya,P.125 Putrajaya,"c(101.7003063, 2.9494556)",W.P. Putrajaya
