title;text
Chelsea rangkul kejuaraan Eropah kali kedua;"
PORTO: Chelsea merangkul kejuaraan Liga Juara-Juara buat kali kedua selepas jaringan tunggal Kai Havertz membantu mereka menumpaskan Manchester City 1-0 hari ini, sekali gus memusnahkan impian Pep Guardiola untuk menjulang trofi ketiga dalam kariernya sebagai pengurus.
Havertz melakukan larian solo, menewaskan Ederson tidak minit sebelum tamat babak pertama dan permainan terhenti seketika selepas pemain Blues berlari ke hujung padang di Stadium Dragao untuk meraikan jaringan bintang Jerman itu.
Pengendali Chelsea, Thomas Tuchel melompat dan menjulang tangan ke udara sejurus pasukannya disahkan sebagai juara, manakala City pula meratapi kekalahan serta kehilangan ketua pasukan, Kevin de Bruyne akibat kecederaan.
Biarpun menutup kempen Liga Perdana Inggeris (EPL) di tangga keempat dengan 19 mata ditinggalkan City, namun Chelsea nyata lebih unggul berbanding skuad Citizens apabila menewaskan mereka buat kali ketiga berturut-turut dalam tempoh enam minggu.
Kekalahan ini turut memusnahkan impian Guardiola untuk merangkul kejuaraan treble selepas muncul juara EPL dan Piala Liga.
Beraksi di depan 14,000 penonton, Chelsea menamatkan penantian sembilan tahun untuk bergelar juara Eropah sekali lagi sejak kali terakhir merangkul kejuaraan pada 2012 dengan menumpaskan Bayern Munich.
City pula terpaksa menunggu selama 13 tahun hanya untuk melayakkan diri ke pentas akhir sejak kelab itu diambil alih oleh jutawan Abu Dhabi, Sheikh Mansour.
Mereka kini muncul pasukan ketujuh berturut-turut gagal merangkul kejuaraan berprestij itu dalam penampilan pertama di final, berkongsi malang yang pernah dirasai Paris Saint-Germain (PSG)  ketika dibimbing oleh Tuchel musim lalu. – AFP
"
Litar Mugello ragut nyawa pelumba remaja Switzerland;"
MUGELLO, Itali: Pelumba Moto3 Switzerland, Jason Dupasquier meninggal pada usia 19 tahun akibat kecederaan yang dialami selepas terlibat dalam kemalangan ketika beraksi pada sesi kelayakan Grand Prix Itali semalam, menurut penganjur MotoGP dalam satu kenyataan hari ini.
“Kami sangat sedih mengumumkan kematian Jason Dupasquier.
“Bagi pihak seluruh keluarga MotoGP, simpati dan sayang kami buat keluarga beliau dan insan-insan tersayang. Anda pasti akan dirindui Jason. Pergilah dengan tenang,” kata MotoGP dalam Twitter.
Hospital Careggi di Florence yang merawat Dupasquier mengesahkan pelumba remaja itu mengalami kecederaan kepala dalam kemalangan di Mugello semalam.
Dupasquier yang beraksi pada musim keduanya dalam Moto3, terjatuh dan kemudian dilanggar oleh sekurang-kurangnya sebuah motosikal sebelum terseret di atas litar.
BARISAN pelumba memberi penghormatan kepada Jason Dupasquier. – AFPDoktor kemudian bergegas ke tempat kejadian dan setelah lebih 40 minit memeriksanya, dia dibawa ke hospital.
Menurut jurucakap hospital, Dupasquier menjalani pembedahan di bahagian dada untuk ‘lesi vaskular’ dan mengalami kecederaan teruk di kepala.
Badan motosikal dunia, FIM, Persatuan Pasukan Perlumbaan Jalan Raya Antarabangsa (IRTA) dan pemegang hak komersial MotoGP, Dorna mengeluarkan kenyataan bersama mengenai insiden tragis itu.
“Susulan insiden buruk dalam sesi kelayakan kedua Moto3 di Grand Prix Itali, kami dengan amat sedih memaklumkan bahawa pelumba Moto3, Jason Dupasquier meninggal dunia,” tulis kenyataan itu.
JASON Dupasquier digegaskan ke hospital menaiki helikopter selepas terlibat dalam kemalangan pada sesi kelayakan Grand Prix Itali di Litar Mugello semalam sebelum disahkan meninggal dunia hari ini. – AFPMenurut kenyataan tersebut, petugas perubatan tiba di lokasi kemalangan untuk memberi rawatan segera sebelum dia digegaskan ke hospital.
“Walaupun pasukan perubatan litar berusaha keras untuk menyelamatkan pelumba Switzerland itu, pihak hospital kemudian memaklumkan bahawa Dupasquier mengalami kecederaan yang teruk,” menurut kenyataan itu lagi.
Pasukan Dupasquier, Pruestel GP menarik diri daripada perlumbaan hari ini dan tindakan sama diambil pelumba Moto2 Switzerland, Tom Luthi yang sepatutnya beraksi bersama pasukan SAG Racing. – AFP
"
Hafizh raih tujuh mata di Mugello;"
PETALING JAYA: Bermula di petak ke-20, pelumba Moto 2 negara, Hafizh Syahrin Abdullah mempamer tunggangan memukau apabila menamatkan  Grand Prix (GP) Itali di tempat kesembilan, sebentar tadi.
Itu adalah pencapaian terbaik Hafizh bersama pasukan NTS RW Racing GP musim ini selepas berjaya meraih satu mata dalam perlumbaan GP Le Mans.
Pelumba negara itu sepatutnya mampu meraih kedudukan kelapan namun dipintas pada saat akhir oleh Cameron Beaubier yang mewakili pasukan American Racing.
Hafizh ketinggalan 34.849 saat (s) di belakang juara Remy Gardner dari pasukan Red Bull KTM Ajo yang menamatkan melepasi garisan penamat dengan catatan masa 39 minit 17.667s.
Melengkapkan tempat kedua dan ketiga adalah Raul Fernandez (+0.014) serta pelumba Sky Racing Team, Marco Bezzecchi (+8.021)
Pencapaian itu membuktikan Hafizh semakin serasi dengan jentera baru NTS.
"
Quartararo hadiahkan kemenangan buat Jason;"
MUGGELLO: Fabio Quartararo merangkul kejuaraan MotoGP ketiganya musim ini selepas menakluk Grand Prix (GP) Itali sebentar tadi, sekali gus mengukuhkan kedudukan sebagai pendahulu kejuaraan dunia.
Kemenangan itu membolehkan pelumba pasukan Penunggang Monster Energy Yamaha MotoGP dari Perancis itu mengumpul 105 mata, 24 mata mengatasi pencabar terdekatnya, Johann Zarco dari pasukan Ducati.
Quartararo, 22, melengkapkan 23 pusingan perlumbaan dengan catatan 41 minit 16.344 saat (s), manakala tempat kedua  milik Miguel Oliveira dari pasukan KTM. (+2.592s) dan penyandang juara dunia, Joan Mir yang menunggang Suzuki melengkapkan podium ketiga (+3.000s).
“Sejujurnya kami memulakan perlumbaan dalam keadaan penuh beremosi dan memberi penghormatan buat Jason (Dupasquier) selama seminit.
“Setiap kali melalui selekoh ke-9, terlintas dalam fikiran tentang Jason. Kemenangan ini saya hadiahkan kepadanya.
“Kami memperoleh kemenangan dalam masa sama kehilangan rakan pelumba,” katanya selepas perlumbaan.
Quartararo, 22, yang memulakan perlumbaan dari petak pertama memenangi perlumbaan ketiganya musim ini selepas turut muncul juara di GP Doha dan Portugal.
Hasrat penunggang Australia, Jack Miller dari pasukan Ducati untuk merangkul kejuaraan hatrik tidak kesampaian selepas menamatkan perlumbaan di tempat keenam, manakala Zarco menghuni tangga kelima.
Pelumba Moto3 Switzerland, Jason Dupasquier disahkan meninggal pada usia 19 tahun hari ini akibat kecederaan yang dialami selepas terlibat dalam kemalangan ketika beraksi pada sesi  kelayakan semalam. – AGENSI
 
 
"
Cheng Hoe tidak hukum Irfan;"
PETALING JAYA : Biarpun kesilapan Irfan Zakaria menjadi tumpuan ramai namun, pengendali Harimau Malaya, Tan Cheng Hoe tetap yakin dengan kemampuan anak buahnya itu.
Dia percaya, pemain pertahanan negara itu tidak akan mengulangi kesilapan sama yang dilakukan ketika tewas 0-2 kepada Bahrain dalam aksi persahabatan di Riffa, kelmarin.
“Ya, memang kita nampak ia satu kesilapan individu daripada Irfan tetapi sebagai jurulatih memberitahu dia ia kesilapan yang boleh diperbaiki.
“Kami perlu yakin dengan Irfan, selain dia sudah bersama pasukan di pentas antarabangsa dan saya rasa dia sendiri sedar dengan kesilapan itu dan dia akan diberikan peluang jika pasukan memerlukannya,” katanya dalam sidang akhbar secara maya, semalam.
Malaysia bakal turun berdepan Emiriah Arab Bersatu (UAE) pada 4 Jun ini bagi baki aksi kumpulan G kelayakan Piala Dunia 2022/Piala Asia 2023 sebelum bertemu Vietnam (12 Jun) dan Thailand (16 Jun).
Selepas dua aksi persahabatan menentang Kuwait dan Bahrain menyaksikan enam gol dibolosi skuad negara dan hanya menjaringkan satu gol berbanding UAE yang melepaskan satu gol serta meledak 11 gol.
Statistik itu menunjukkan barisan skuad kendalian Bert van Marwijk berada di tahap terbaik dan memiliki jentera serangan yang cukup berbahaya.
“Dari segi statistik perlawanan pertahanan kita longgar terutama di bahagian kanan dan ia perlu cepat diperbaiki.
“UAE telah menang dengan jaringan besar ke atas India 6-0 dan Jordan 5-1. Itu menunjukkan mereka berada di tahap terbaik dan memiliki jentera serangan berbahaya terutama Ali (Mabkhout),” ujarnya.
Sementara itu, Cheng Hoe meluahkan rasa lega kerana semua pemainnya bebas daripada kecederaan dan hanya keletihan selepas sekian lama tidak bermain di pentas antarabangsa.
"
UAE ‘panik’, lebih tertekan jumpa Harimau Malaya;"
PETALING JAYA: Tonggak Harimau Malaya, Brendan Gan percaya, status pasukan pilihan yang dimiliki Emiriah Arab Bersatu (UAE) meletakkan mereka dalam keadaan tertekan untuk bertemu negara dalam aksi pembukaan Kelayakan Piala Dunia 2022/ Piala Asia 2023, 4 Jun ini.
Aksi melawan Harimau Malaya ketika tewas 1-2 kepada UAE di Stadium Nasional Bukit Jalil, 10 September 2019 masih menjadi igauan buat skuad kendalian Bert van Marwijk.
Brendan berkata, skuad negara mampu memberi saingan kepada pasukan ‘Pak Arab’ itu sekiranya dapat mengulangi persembahan bertenaga apatah lagi UAE berada dalam keadaan tertekan.
“Pada aksi terakhir, kami mendominasi dan agresif mengasak mereka. Saya fikir kami tiada tekanan dan UAE yang lebih tertekan selepas mereka memecat beberapa jurulatih selain menggunakan pemain naturalisasi.
“Mereka yang panik ketika ini kerana melihat kualiti Harimau Malaya. Saya percaya pada kemampuan pasukan ini dan kalau kita sentiasa bersatu dan fokus, kita boleh tewaskan mana mana pasukan,” katanya dalam akhbar secara maya semalam.

Mengakui kecewa tidak dapat turun bermain menentang UAE kerana digantung satu perlawanan, Brendan tetap mahu memainkan peranan di luar padang dengan memberi motivasi kepada pasukan kebangsaan.
“Saya kecewa kerana tidak dapat bermain tetapi kita ada pemain yang hebat dalam pasukan. Walaupun tanpa saya, kualiti pasukan tidak akan menurun.
“Jadi saya akan memberi sokongan kepada pemain dari segi komunikasi dan kepemimpinan yang saya ada dalam skuad.
“Saya akan membantu sedaya upaya ketika sesi latihan dan memberikan sokongan yang diperlukan oleh pemain. Selepas aksi UAE, kita akan teruskan persiapan bagi dua lagi aksi dan ketika itu, saya akan memberikan 100 peratus untuk merebut tempat dalam kesebelasan utama,” jelasnya.
"
Ziyad berkorban demi negara;"
PETALING JAYA: Atlet para negara, Muhammad Ziyad Zolkefli mengambil keputusan meninggalkan keluarga demi menjalani latihan secara kuarantin di Majlis Sukan Negara (MSN) dalam misi memburu pingat emas di Sukan Paralimpik Tokyo 2020.
Selain tidak dibenarkan keluar dari MSN, dia juga kembali menyambung latihan seawal hari raya kedua kerana mahu melakukan persiapan rapi ekoran temasya sukan terulung itu akan bermula kurang tiga bulan lagi.
“Tahun ini saya berjuang untuk satu pingat emas, tidak mengapa, saya korbankan raya saya bersama keluarga.
“Memang tidak dinafikan perasaan rindu dan sedih itu kerana semua sedia maklum bahawa raya itu satu hari yang menggembirakan tapi tak mengapa, situasi macam ini pun bukan selalu (kuarantin).
“Bagi saya tiada masalah sebab bukan selalu dapat merasai perasaan macam ini, jadi ada benda nak bercerita nanti dengan orang lain,” katanya yang beraksi dalam acara lontar peluru.
Muhammad Ziyad merupakan pemegang dunia para dengan balingan sejauh 17.29m ketika Kejohanan Para Dunia di London pada 2017, mengatasi rekod 16.84m ketika memenangi pingat emas di Sukan Paralimpik Rio 2016.
Bagaimanapun, rekod kebangsaan kekal milik bekas atlet negara, Adi Alifuddin Hussin yang melakukan lontaran 17.54 m pada Sukan SEA Palembang 2011.
Kapsyen
Muhammad Ziyad terpaksa meninggalkan keluarganya demi meneruskan misi memburu pingat emas di Sukan Paralimpik Tokyo 2020.
"
Geran khas mampu kurangkan beban operator sukan;"
PETALING JAYA: Pemberian bantuan berbentuk geran yang akan diumumkan kerajaan tidak lama lagi mampu mengurangkan bebanan yang ditanggung penggiat sektor sukan semasa Perintah Kawalan Pergerakan (PKP3.0) esok.
Meskipun perincian mengenainya belum diumumkan, namun usaha yang sedang dilakukan Kementerian Belia dan Sukan (KBS) bersama Kementerian Kewangan itu dilihat akan memberi impak positif kepada mereka yang terkesan.
Bekas pemain No.1 dunia yang juga pemilik kelab badminton RHBC, Roslin Hashim mengakui, bantuan berbentuk geran seperti itu adalah sangat baik khususnya kepada operator sukan seperti dirinya yang kehilangan punca pendapatan sepanjang PKP.
Katanya, semasa PKP 1.0 sebelum ini, KBS juga menyediakan bantuan kepada operator seperti dirinya tetapi dia tidak berjaya mendapatkannya kerana terlewat membuat permohonan.
“Saya tahu, KBS ada sediakan pelbagai bantuan sejak PKP1.0 tetapi tidak ramai yang tahu mengenainya. Apa pun bagi saya bantuan macam geran ini sangat elok terutama buat golongan yang terkesan seperti kami,” katanya kepada Utusan Malaysia semalam.
Sementara itu, pengusaha Akademi Badminton IszzBrothers, Iskandar Zulkarnain Zainuddin berharap kerajaan akan menyediakan bantuan seperti itu buat pengusaha baharu sepertinya terutama dalam situasi PKP 3.0.
“Kelab kami ini masih baharu, tidak sampai setahun lagi sebelum ni terpaksa tutup sekejap untuk PKP 1.0 dan 2.0, jadi memang susah.
“Seandainya ada bantuan, memang kami akan cuba mohon untuk memastikan kelab ini terus berjalan,” katanya.
"
Copa America di Argentina digantung;"
ASUNCION: Penganjuran kejohanan bola sepak Copa America di Argentina digantung ‘selepas melihat keadaan terkini’ Covid-19, umum kata CONMEBOL hari ini.
Badan induk bola sepak Amerika Selatan itu yang menggugurkan Colombia sebagai tuan rumah bersama minggu lalu kerana ketidaktentuan pandemik berkata, mereka sedang memikirkan tawaran lain untuk meneruskan kejohanan.
“CONMEBOL ingin memaklumkan, selepas melihat keadaan terkini, kami mengambil keputusan untuk menggantung penganjuran Copa America di Argentina.
“CONMEBOL sedang menilai tawaran negara lain yang menunjukkan minat menganjurkan kejohanan peringkat benua itu,” katanya dalam satu kenyataan di Twitter.
Dalam satu kaji selidih yang diadakan di Argentina pada Jumaat lalu, 70 peratus responden menentang negara itu menganjurkan kejohanan bola sepak Amerika Selatan tersebut kerana sedang berdepan fasa terburuk pandemik Covid-19.
Kurang dua minggu sebelum Copa America dijadualkan bermula, Argentina sedang menjalani perintah berkurung sembilan hari dan mencatat rekod peningkatan harian kes berkenaan. – AFP
"
The Cops naik taraf fasiliti;"
KUALA LUMPUR : Kelab Bola Sepak Polis Diraja Malaysia (PDRM) FC mula mempamerkan perubahan daripada segi pentadbiran dan fasiliti pasukan dengan melakukan beberapa perubahan dalam usaha menaikkan semangat Sang Saka Biru dalam kalangan pemain mahupun kejurulatihan.
Walaupun dianggap perubahan dalam skala yang kecil namun usaha murni dan kesungguhan dilakukan The Cops seharusnya menjadi contoh kepada beberapa pasukan Liga Perdana.
Terbaharu bagi memenuhi kehendak profesional melalui penswastaan pasukan yang diperkenalkan Persatuan Bolasepak Malaysia (FAM), PDRM telah menaiktaraf fasiliti di Pusat Latihan Polis (Pulapol) Kuala Lumpur.
BILIK mesyuarat skuad Sang Saka Biru.Antara fasiliti yang telah dinaiktaraf adalah satu blok bangunan yang merangkumi ruang pejabat, bilik jurulatih dan ruang mesyuarat, kedai cenderamata, bilik persalinan dan tandas pemain serta bilik lounge.
Selain itu, PDRM FC mempunyai dua padang latihan dan akan dinaiktaraf dari semasa ke semasa. Usaha menaiktaraf ini merupakan salah satu misi dan visi yang jelas oleh pemilik dan disokong oleh pengurusan yang profesional.
Beberapa perubahan ini, bagi memastikan persiapan PDRM FC berjalan lancar juga merupakan satu tonik tambahan buat pasukan untuk bergerak lebih maju.

"
